nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
Francesconi,Marie,Bonnefoy,Nicole,NICOLEBONNEFOY
Francois,Claire,Morin-desailly,Catherine,CATHERINEMORINDESAILLY
Frau,Roxellane,Perrin,Cédric,CEDRICPERRIN
Friart,Jérôme,Perrion,Maurice,MAURICEPERRION
Friedrich,Karine,Herzog,Christine,CHRISTINEHERZOG
Frison-bruno,Nikita,Capo-canellas,Vincent,VINCENTCAPOCANELLAS
Froment,Frédéric,Puissat,Frédérique,FREDERIQUEPUISSAT
Fund,Mélanie,Schalck,Elsa,ELSASCHALCK
Furini,Rachel,Masset,Michel,MICHELMASSET
Gabillard,Marie-Lou,Piednoir,Stéphane,STEPHANEPIEDNOIR
Gadenne,Arthur,Richard,Olivia,OLIVIARICHARD
Gadler,Lucille,De la gontrie,Marie-Pierre,MARIEPIERREDELAGONTRIE
Gage,Hubert,Valente le hir,Sylvie,SYLVIEVALENTELEHIR
Gaillard,Caroline,Bellamy,Marie-Jeanne,MARIEJEANNEBELLAMY
Gaillard,Caroline,Mandelli,Didier,DIDIERMANDELLI
Gaillat,Eva,Kerrouche,Éric,ERICKERROUCHE
Gajda,Valérie,Hochart,Joshua,JOSHUAHOCHART
Gantelet,Constantin,Szczurek,Christopher,CHRISTOPHERSZCZUREK
Garcia,Julien,Guidez,Jocelyne,JOCELYNEGUIDEZ
Garcia refuveille,Lino,Folliot,Philippe,PHILIPPEFOLLIOT
Gardien,Isabelle,Rojouan,Bruno,BRUNOROJOUAN
Gasnier,Fabienne,Cazabonne,Alain,ALAINCAZABONNE
Gaston,Aurélia,Deseyne,Chantal,CHANTALDESEYNE
Gaston,Aurélia,Lassarade,Florence,FLORENCELASSARADE
Gatt,Sylvain,Guerriau,Joël,JOELGUERRIAU
Gaucher,Jean-Luc,Darnaud,Mathieu,MATHIEUDARNAUD
Gaucher,Jean-Luc,Ventalon,Anne,ANNEVENTALON
Gaudillat,Yanis,Szczurek,Christopher,CHRISTOPHERSZCZUREK
Gaudillat,Yanis,Hochart,Joshua,JOSHUAHOCHART
Gaudrier,Marine,Bouchet,Gilbert,GILBERTBOUCHET
Gault,Benjamin,Ouizille,Alexandre,ALEXANDREOUIZILLE
Gauter,Tugdual,Uzenat,Simon,SIMONUZENAT
Gautereaud,Gabin,Dhersin,Franck,FRANCKDHERSIN
Gayaud frenoy,Anne-Laure,Grosvalet,Philippe,PHILIPPEGROSVALET
Gayrard,Théophile,Saury,Hugues,HUGUESSAURY
Geay,Christelle,Mouiller,Philippe,PHILIPPEMOUILLER
Geay,Christelle,Favreau,Gilbert,GILBERTFAVREAU
Geoffroy,Gauthier,Burgoa,Laurent,LAURENTBURGOA
Gheysens,François,Cadic,Olivier,OLIVIERCADIC
Gibert,Benjamin,Marie,Didier,DIDIERMARIE
Gibert,Benjamin,Tissot,Jean-Claude,JEANCLAUDETISSOT
Gimbert,Sabine,Féret,Corinne,CORINNEFERET
Gingali,Tonia-Lisa,Berthet,Martine,MARTINEBERTHET
Girod,Brice,Aeschlimann,Marie-Do,MARIEDOAESCHLIMANN
Girondeau,Victoria,Lahellec,Gérard,GERARDLAHELLEC
Giron-preault,Lilian,Robert,Sylvie,SYLVIEROBERT
Girszonas saconnet,Alexis,Brossel,Colombe,COLOMBEBROSSEL
Giusto,Véronique,Leroy,Henri,HENRILEROY
Gloaguen,Cécile,Dumont,Françoise,FRANCOISEDUMONT
Glover,Véronique,Lafon,Laurent,LAURENTLAFON
